timestamp,acc_x,acc_y,acc_z

0.00327073,-0.5162,0.4905,0.8978
0.004037865,-0.5223,0.4998,0.9422
0.004736823,-0.5252,0.5023,0.9884
0.005281563,-0.5069,0.4974,1.0116
0.005841302,-0.4734,0.4808,1.0177
0.00636724,-0.4673,0.4649,1.0646
0.006789427,-0.4893,0.4576,1.1428
0.007306875,-0.5098,0.4422,1.1958
0.00802323,-0.5255,0.4212,1.2310
0.008500209,-0.5394,0.4055,1.2642
0.009090782,-0.5453,0.3955,1.2833
0.009716407,-0.5377,0.3833,1.2821
0.010296563,-0.5206,0.3684,1.2672
0.013658438,-0.5015,0.3535,1.2554
0.017014323,-0.4864,0.3403,1.2584
0.01747323,-0.4752,0.3303,1.2696
0.019568334,-0.4627,0.3200,1.2828
0.021888021,-0.4490,0.3105,1.2940
0.024012969,-0.4317,0.3027,1.3011
0.026429688,-0.4131,0.2968,1.3043
0.034844219,-0.3982,0.2924,1.3021
0.035316302,-0.3848,0.2914,1.2955
0.035518177,-0.3738,0.2929,1.2838
0.036364011,-0.3655,0.2949,1.2659
0.03930724,-0.3589,0.2985,1.2454
0.040985573,-0.3508,0.3017,1.2247
0.043193177,-0.3423,0.3066,1.2063
0.046151302,-0.3359,0.3129,1.1887
0.048836042,-0.3291,0.3188,1.1714
0.050873021,-0.3220,0.3239,1.1553
0.053034584,-0.3166,0.3288,1.1367
0.05534948,-0.3137,0.3332,1.1174
0.057827396,-0.3100,0.3366,1.0976
0.060085834,-0.3051,0.3401,1.0764
0.062652032,-0.3034,0.3408,1.0524
0.065549532,-0.3017,0.3391,1.0268
0.067596667,-0.3017,0.3391,0.9997
0.06980323,-0.3046,0.3418,0.9733
0.072137396,-0.3088,0.3454,0.9476
0.074495052,-0.3129,0.3511,0.9193
0.07683599,-0.3183,0.3545,0.8924
0.079692813,-0.3242,0.3550,0.8694
0.081960469,-0.3300,0.3533,0.8484
0.08411573,-0.3381,0.3484,0.8301
0.086507032,-0.3474,0.3442,0.8174
0.089287136,-0.3567,0.3418,0.8091
0.091651198,-0.3652,0.3388,0.8035
0.09383198,-0.3728,0.3357,0.7979
0.096522761,-0.3782,0.3335,0.7932
0.098979063,-0.3806,0.3300,0.7920
0.101425417,-0.3845,0.3261,0.7949
0.103365261,-0.3879,0.3232,0.7976
0.105856355,-0.3897,0.3186,0.8013
0.108507188,-0.3906,0.3139,0.8086
0.110458021,-0.3897,0.3115,0.8159
0.1133575,-0.3875,0.3112,0.8240
0.115478907,-0.3831,0.3139,0.8352
0.117982605,-0.3765,0.3166,0.8477
0.120065521,-0.3694,0.3191,0.8587
0.122452709,-0.3613,0.3247,0.8685
0.124784532,-0.3523,0.3315,0.8773
0.127238073,-0.3432,0.3374,0.8861
0.12995099,-0.3330,0.3454,0.8931
0.132281146,-0.3232,0.3533,0.8997
0.134571042,-0.3156,0.3584,0.9049
0.136797813,-0.3098,0.3638,0.9083
0.139235469,-0.3059,0.3696,0.9115
0.142777448,-0.3019,0.3733,0.9132
0.147088698,-0.2971,0.3752,0.9149
0.147611302,-0.2922,0.3779,0.9129
0.152322865,-0.2870,0.3804,0.9071
0.152897604,-0.2819,0.3831,0.8973
0.155248021,-0.2768,0.3875,0.8868
0.156255209,-0.2726,0.3926,0.8726
0.158684532,-0.2699,0.3972,0.8545
0.162012969,-0.2663,0.4031,0.8350
0.163388021,-0.2636,0.4099,0.8147
0.166135209,-0.2626,0.4170,0.7932
0.168395782,-0.2638,0.4239,0.7686
0.170603334,-0.2646,0.4307,0.7453
0.17291849,-0.2658,0.4385,0.7209
0.17581224,-0.2687,0.4454,0.6945
0.178819167,-0.2709,0.4515,0.6699
0.180625157,-0.2724,0.4585,0.6464
0.182586563,-0.2746,0.4649,0.6249
0.184996667,-0.2765,0.4690,0.6039
0.187199636,-0.2778,0.4720,0.5848
0.189676615,-0.2792,0.4737,0.5682
0.192663854,-0.2819,0.4744,0.5533
0.195241511,-0.2844,0.4744,0.5406
0.197203646,-0.2873,0.4744,0.5313
0.199331511,-0.2905,0.4744,0.5243
0.201820313,-0.2934,0.4739,0.5184
0.204124323,-0.2971,0.4720,0.5150
0.206763854,-0.3002,0.4693,0.5130
0.209141719,-0.3037,0.4664,0.5138
0.212225469,-0.3073,0.4632,0.5177
0.214125625,-0.3100,0.4600,0.5250
0.21623349,-0.3147,0.4566,0.5335
0.219185261,-0.3198,0.4529,0.5436
0.220955938,-0.3227,0.4500,0.5563
0.22341349,-0.3264,0.4458,0.5717
0.225841354,-0.3291,0.4417,0.5878
0.229337188,-0.3318,0.4392,0.6054
0.23068849,-0.3340,0.4339,0.6249
0.23296849,-0.3359,0.4287,0.6440
0.235552917,-0.3398,0.4251,0.6603
0.238169479,-0.3442,0.4221,0.6752
0.240124375,-0.3484,0.4192,0.6906
0.243221198,-0.3528,0.4136,0.7055
0.251589271,-0.3572,0.4085,0.7185
0.252134479,-0.3625,0.4063,0.7304
0.252415261,-0.3682,0.4036,0.7414
0.25267849,-0.3730,0.4002,0.7497
0.255171354,-0.3765,0.3970,0.7556
0.257238907,-0.3789,0.3953,0.7590
0.259540573,-0.3806,0.3955,0.7602
0.262724375,-0.3826,0.3960,0.7610
0.264941667,-0.3845,0.3977,0.7580
0.266555886,-0.3848,0.3992,0.7512
0.269146719,-0.3850,0.4009,0.7436
0.271316094,-0.3867,0.4063,0.7363
0.273742032,-0.3887,0.4114,0.7243
0.27652974,-0.3911,0.4160,0.7099
0.279253802,-0.3926,0.4231,0.6960
0.281076667,-0.3943,0.4307,0.6799
0.283455313,-0.3967,0.4373,0.6640
0.286089688,-0.3980,0.4429,0.6501
0.288509479,-0.3999,0.4495,0.6352
0.290483438,-0.4021,0.4546,0.6190
0.293592448,-0.4058,0.4585,0.6046
0.295667188,-0.4075,0.4632,0.5934
0.297965573,-0.4082,0.4673,0.5836
0.300230052,-0.4085,0.4712,0.5751
0.302658854,-0.4082,0.4754,0.5673
0.304903959,-0.4087,0.4800,0.5611
0.307283854,-0.4075,0.4859,0.5550
0.310303282,-0.4038,0.4920,0.5484
0.312161459,-0.4014,0.4976,0.5448
0.314874323,-0.4019,0.5040,0.5416
0.317000209,-0.4004,0.5091,0.5404
0.319396979,-0.3980,0.5116,0.5409
0.321867813,-0.3987,0.5116,0.5431
0.32405849,-0.4009,0.5094,0.5489
0.32685875,-0.4028,0.5057,0.5580
0.329113334,-0.4048,0.5001,0.5697
0.334638802,-0.4065,0.4957,0.5822
0.335048646,-0.4087,0.4920,0.5968
0.33613849,-0.4107,0.4869,0.6107
0.338620365,-0.4119,0.4820,0.6244
0.340840104,-0.4133,0.4774,0.6391
0.343670729,-0.4143,0.4734,0.6515
0.346997396,-0.4168,0.4700,0.6618
0.348236979,-0.4192,0.4673,0.6730
0.351296823,-0.4209,0.4644,0.6831
0.352998594,-0.4246,0.4605,0.6914
0.355268438,-0.4297,0.4585,0.7009
0.357886406,-0.4326,0.4571,0.7131
0.36015849,-0.4346,0.4568,0.7268
0.362538646,-0.4397,0.4571,0.7429
0.365049636,-0.4451,0.4583,0.7571
0.367262344,-0.4493,0.4612,0.7654
0.369835729,-0.4524,0.4639,0.7661
0.372024531,-0.4571,0.4693,0.7629
0.374380104,-0.4625,0.4766,0.7602
0.37723125,-0.4656,0.4847,0.7551
0.379566615,-0.4671,0.4915,0.7466
0.381898594,-0.4686,0.4986,0.7385
0.384136719,-0.4708,0.5057,0.7329
0.386627136,-0.4725,0.5123,0.7280
0.389008281,-0.4756,0.5186,0.7263
0.391243959,-0.4800,0.5228,0.7300
0.394026042,-0.4793,0.5269,0.7326
0.39688099,-0.4737,0.5311,0.7309
0.398600313,-0.4666,0.5333,0.7275
0.401106511,-0.4588,0.5360,0.7212
0.40344099,-0.4505,0.5445,0.7119
0.405864896,-0.4422,0.5543,0.7058
0.408632448,-0.4163,0.5533,0.6936
0.410529792,-0.3826,0.5487,0.6655
0.412991094,-0.3787,0.5619,0.6484
0.415291979,-0.3909,0.5831,0.6520
